Name,# Single Line,# Multi Line,Includes Eval?,Available?,Notes
Eccentricity/bashbench2,0,637,YES,YES,"637 tasks. Each one ships a dockerfile, tests, and a setup script. Successor in spirit to the Redwood BashBench."
Eccentricity/basharena2 (BashArena),0,4684,YES,YES,"4684 task descriptions. A control setting for highly privileged AI agents. arXiv 2512.15688"
tiararodney/posix-sdc,~1040,~1935,"Yes, has a checker",YES,"4765 synthetic POSIX shell trajectories. 65 percent of the reference solutions use more than one command. Has checker, fixtures, verified, and outcome fields, and every trajectory's outcome was checked against real filesystem state. The single and multi-line split is estimated from a 2975-row sample."
saurabh5/rlvr-code-data-bash,10,66614,YES,YES,"The best find in the survey. 133247 rows, of which 66624 have a bash solution, and all of those are multi-line function definitions rather than one-liners. 66004 of them are unique. The columns are translated_problem for the English, translated_solution for the bash, and translated_test_cases for the tests. Measured 0 percent overlap with NL2Bash, NL2CMD, NL2SH-ALFA, and tldr, so its lineage is independent. This is the largest multi-line bash source with test cases found anywhere in the survey."
AgentBench OS,0,~1200,YES,YES,"Agents act in a real Ubuntu Docker shell. About 1200 documented tasks with setup scripts and checking utilities, though the released eval subset is much smaller. ICLR 2024. arXiv 2308.03688. github.com/THUDM/AgentBench"
Local-LLMs-4-Bash (NDSS LASTX 2026),300,0,YES,YES,"KU Leuven. A corrected and extended version of the InterCode-ALFA 300-task test set. They fixed 18 tasks that were scored wrongly and flagged 12 more that cannot be verified at all. Adds realistic incorrect samples and a better scoring scheme. Also releases two RAG corpora: 981 environment man pages and 9812 reasoning examples. github.com/JefJacobs00/Local-LLMs-4-Bash"
b-mc2/cli-commands-explained,15679,~128,NO,YES,"16098 rows scraped from commandlinefu.com. Each row is a real command with a human-written title, a human-written description, and votes. 15679 unique commands. Only 1 to 2 percent of its commands overlap with NL2Bash, NL2SH-ALFA, NL2CMD, or tldr, which makes it one of the few large sets that is genuinely independent rather than a remix of the others."
ajibawa-2023/Shell-Code-Large,~1650,~101390,NO,YES,"639183 rows of real shell scripts from GitHub. 98.4 percent are multi-line, measured on a 103042-row sample containing 27824 unique scripts. 0 percent overlap with every English to bash corpus. This is by far the largest multi-line bash source found, but it is code only. There is a language column and no English instruction, so it needs pairing before it can be used."
jragsdale1/ShIO-bash-26.1,~4798000,~3100,"Yes, by execution",YES,"Not an English to bash set. 4803184 rows pairing a command with its stdout, exit code, and environment state change, recorded from ShIOEnv, a Gymnasium bash environment. Covers 86 Linux utilities on Ubuntu 24.04. 0.1 percent multi-line, measured on a 316245-row sample with 312736 unique commands. 0 percent overlap with every English corpus. Relevant to our own pipeline because it is ready-made execution ground truth for real coreutils."
Mitchins/NL-SHELL-MULTI,78768,0,NO,YES,"Not a new corpus. A documented merge of NL2Bash, tldr-pages, and the NL2SH-ALFA train split. Hashing confirms it fully contains jiacheng-ye/nl2bash (7559 commands) and TRamesh2/NL2CMD (8513). 63862 unique commands."
AryaYT/nl2shell-training-v3,11803,1031,NO,YES,"12834 pairs, 12799 of them unique. 8 percent multi-line. Heavily derived: 59 percent of its commands are in NL2Bash and 65 percent are in TRamesh2/NL2CMD, leaving roughly 35 percent that looks new. 961 rows are flagged as expert-curated."
AryaYT/nl2shell-terminal-bench,0,7509,"Yes, verify command",YES,"7509 synthetic trajectories, each a think step, a command, and a verify step. Every one carries a verification command that checks whether the step worked. Synthetic and not human-validated."
Frost2o24/bash-instruct-55k,unknown,unknown,NO,YES,"55000 synthetic instruction-tuning rows. A companion set, bash-instruct-II-55k, adds 54803 more. The provenance is not documented, so treat it with caution."
NickIBrody/linux-shell-corpus-ru-en,25000,0,NO,YES,"A bilingual Russian and English Linux shell assistant dataset. 25000 rows."
mecha-org/linux-command-dataset,7500,~9,NO,YES,"8669 rows with 7500 unique commands and almost nothing multi-line. Only 1 to 2 percent overlap with the canonical corpora."
emirkaanozdemr/bash_command_data_6K,5470,683,NO,YES,"6153 rows, 4451 of them unique, 11.1 percent multi-line. Roughly 1 to 3 percent overlap with the canonical corpora."
AnishJoshi/nl2bash-custom,22950,1619,NO,YES,"24569 non-empty rows with 12659 unique commands, 6.6 percent multi-line. This is a merge, and it is the bigger set: it contains all 8513 commands of TRamesh2/NL2CMD, 7558 of the 7559 in NL2Bash, and all 6381 of rlawltjd/korean-nl2bash. About 4100 of its commands appear in none of the seven root corpora. If you take this one you already have those three in full."
Edoigtrd/tldr-pages,5012,~262,NO,YES,"5274 rows taken from the tldr-pages project, which is community-simplified man pages. 5012 unique commands. This is the raw tldr source that both NL2SH-ALFA and NL-SHELL-MULTI draw on, and 30 percent of it is already inside NL2SH-ALFA."
datasetter458/diverse-bash-dataset-extended,8340,~11,NO,YES,"9351 rows, 8340 of them unique. The same author also published diverse-bash-dataset (4912 rows), w3schools-bash-tutorial-QAs (417), and bash-reference-manual-general-QAs (1276)."
huytd189/command-line-suggestions,2855,0,NO,YES,"3334 rows with 2855 unique commands. About 1 percent overlap with the canonical corpora."
Euroswarms/bash,unknown,unknown,NO,YES,"Low quality, and do not count the headline number. It advertises 1000000 rows, but a 483553-row sample contains only 4618 unique responses, and those responses are fragments of the Bash reference manual rather than actual commands."
missvector/linux-commands (LinLM),5451,~16,NO,YES,"71775 rows but only 5451 unique commands, so the file is roughly 13 times duplicated internally. The same file has been re-uploaded word for word 5 more times under other accounts."
AuricErgeson/text-to-shell-dataset,492,0,NO,YES,"697 rows, 492 of them unique."
aelhalili/bash-commands-dataset,472,0,NO,YES,"840 rows, 472 of them unique. Roughly 5 to 12 percent overlap with the canonical corpora."
byroneverson/shell-cmd-instruct,377,~4,NO,YES,"500 rows, 377 of them unique."
kth8/bash-toolcalls,662,~7,NO,YES,"862 rows. Bash commands framed as tool calls."
epinnock/intercode-nl2bash-curated,196,0,NO,YES,"200 hand-curated pairs of a query and a gold command, reproducing the InterCode NL2Bash set. 60 percent of its commands are inside NL2SH-ALFA. Contaminated by construction, so do not use it as held-out data."
ZygAI/zygai_linux_commands,239,0,NO,YES,"254 rows. Bilingual Lithuanian and English."
tmskss/linux-man-pages-tldr-summarized,396,0,NO,YES,"481 man pages summarised in tldr style."
iselabvn/Linux-terminal-tool-calling,unknown,unknown,NO,YES,"600 rows. A Linux terminal framed as tool calling."
adeelahmad/bash-agent-grpo-pairs,6318,5427,NO,YES,"11745 rows, all of them unique, and 46.2 percent multi-line, which is unusually high for a set of this kind. Read the ground_truth column rather than answer, because answer is wrapped in reasoning tags. Measured 0 percent overlap with all canonical corpora. It is synthetic, so the quality is unvetted, but it is one of the few large sets with a real multi-line share."
lisayan/rlvr-bash-terminal-bench,0,1120,"Yes, rollouts only",YES,"Not a task set. 1120 model rollouts on Terminal-Bench tasks, each recording reward, test_passed, test_failed, and pass_rate. Useful as difficulty labels rather than as source data. Only 10.4 percent scored a full reward."
CmdCaliper / CyPHER,31327,0,"No, retrieval set",YES,"Not English to bash. 28520 training pairs and 2807 test pairs of similar command lines, command against command, for training security embedding models. Listed here so we do not re-find it later. EMNLP 2024. arXiv 2411.01176. github.com/cycraft-corp/CmdCaliper"
CodeSift (Bash split),100,0,YES,NO,"This answers the question mark on the existing row. 100 unique Bash tasks with 10 generations each, so 1000 task and code pairs. IBM Research, CLOUD 2024. No public release exists, only the paper. Used as a benchmark by ScriptSmith."
harpomaxx/unix-commands,0,0,NO,YES,"Not English to bash, so do not add it as a translation set. 100 rows of 'you are a Unix terminal, produce the output', which maps a command to simulated terminal output rather than the other way round. mrheinen/linux-commands (481 rows) has the same shape."
