sample_id,task_id,local_label,astrogator,astrogator_configured_heuristics,judge,generated_checks_gated
gpt-4o/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/0,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/1,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/2,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/3,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/4,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/5,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/6,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/7,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/8,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p10/9,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/0,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/1,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/2,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/3,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/4,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/5,a06,passed_local_checks,accept,accept,reject,test_reference_control_failed
gpt-4o/p13/6,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-4o/p13/8,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p13/9,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-5-mini/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p10/0,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p10/1,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
gpt-5-mini/p10/2,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p10/3,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p10/4,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-5-mini/p10/5,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p10/6,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p10/7,a17,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
gpt-5-mini/p10/8,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p10/9,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
gpt-5-mini/p13/0,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p13/1,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-5-mini/p13/2,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-5-mini/p13/3,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-5-mini/p13/4,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-5-mini/p13/5,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-5-mini/p13/6,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-5-mini/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-5-mini/p13/8,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-5-mini/p13/9,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-oss/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p10/0,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-oss/p10/1,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p10/2,a17,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
gpt-oss/p10/3,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p10/4,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
gpt-oss/p10/5,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p10/6,a17,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
gpt-oss/p10/7,a17,failed_local_checks_or_execution,reject,reject,reject,test_reference_control_failed
gpt-oss/p10/8,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p10/9,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
gpt-oss/p13/0,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-oss/p13/1,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-oss/p13/2,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-oss/p13/3,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p13/4,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-oss/p13/5,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p13/6,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-oss/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
gpt-oss/p13/8,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-oss/p13/9,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p01/8,a01,passed_local_checks,accept,reject,accept,test_invalid
granite/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
granite/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/7,a02,passed_local_checks,accept,accept,reject,test_reference_control_failed
granite/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p10/0,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p10/1,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p10/2,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p10/3,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
granite/p10/4,a17,passed_local_checks,reject,reject,accept,test_reference_control_failed
granite/p10/5,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
granite/p10/6,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p10/7,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p10/8,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p10/9,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p13/0,a06,failed_local_checks_or_execution,reject,reject,reject,test_reference_control_failed
granite/p13/1,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p13/2,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p13/3,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p13/4,a06,passed_local_checks,accept,accept,accept,test_reference_control_failed
granite/p13/5,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p13/6,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
granite/p13/7,a06,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
granite/p13/8,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
granite/p13/9,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
llama/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
llama/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/4,a02,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
llama/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
llama/p05/9,a02,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
llama/p10/0,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p10/1,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
llama/p10/2,a17,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
llama/p10/3,a17,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
llama/p10/4,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,reject,test_reference_control_failed
llama/p10/5,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p10/6,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
llama/p10/7,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p10/8,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p10/9,a17,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
llama/p13/0,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/1,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/2,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/3,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/4,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/5,a06,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
llama/p13/6,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/8,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
llama/p13/9,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
ministral/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/0,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/1,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/2,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/3,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/4,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/5,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/6,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p10/7,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
ministral/p10/8,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
ministral/p10/9,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
ministral/p13/0,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/1,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,reject,test_reference_control_failed
ministral/p13/2,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/3,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/4,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/5,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/6,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/8,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
ministral/p13/9,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p01/0,a01,passed_local_checks,accept,reject,accept,test_invalid
qwen2.5-coder/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen2.5-coder/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen2.5-coder/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen2.5-coder/p01/4,a01,passed_local_checks,accept,reject,accept,test_invalid
qwen2.5-coder/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen2.5-coder/p01/6,a01,passed_local_checks,accept,reject,accept,test_invalid
qwen2.5-coder/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen2.5-coder/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen2.5-coder/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
qwen2.5-coder/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
qwen2.5-coder/p10/0,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p10/1,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
qwen2.5-coder/p10/2,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p10/3,a17,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
qwen2.5-coder/p10/4,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p10/5,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p10/6,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,reject,test_reference_control_failed
qwen2.5-coder/p10/7,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p10/8,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p10/9,a17,missing_processed,missing_processed,missing_processed,missing_processed,missing_processed
qwen2.5-coder/p13/0,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p13/1,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p13/2,a06,failed_local_checks_or_execution,accept,reject,accept,test_reference_control_failed
qwen2.5-coder/p13/3,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p13/4,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p13/5,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p13/6,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
qwen2.5-coder/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
